bild,defektart,abdeckung,defekt_px,defekt_anteil,defekt_rest_px,defekt_ausserhalb
synth_bevel_gear_spindle_closeup_fretting_corrosion_0010,fretting_corrosion,0.7027,48135,0.06102,48100,0.0007
synth_bevel_gear_spindle_closeup_fretting_corrosion_0011,fretting_corrosion,0.8305,112439,0.14254,111596,0.0075
synth_bevel_gear_spindle_closeup_fretting_corrosion_0012,fretting_corrosion,0.8836,57562,0.07297,57516,0.0008
synth_bevel_gear_spindle_closeup_fretting_corrosion_0013,fretting_corrosion,0.678,146656,0.18592,146084,0.0039
synth_bevel_gear_spindle_closeup_fretting_corrosion_0014,fretting_corrosion,0.8255,57674,0.07312,57353,0.0056
synth_bevel_gear_spindle_closeup_fretting_corrosion_0015,fretting_corrosion,0.7253,66564,0.08439,66564,0.0
synth_bevel_gear_spindle_closeup_fretting_corrosion_0016,fretting_corrosion,0.8918,108019,0.13694,107845,0.0016
synth_bevel_gear_spindle_closeup_fretting_corrosion_0017,fretting_corrosion,0.9941,93632,0.1187,93514,0.0013
synth_bevel_gear_spindle_closeup_fretting_corrosion_0018,fretting_corrosion,0.9829,47542,0.06027,47542,0.0
synth_bevel_gear_spindle_closeup_fretting_corrosion_0019,fretting_corrosion,0.7246,126119,0.15989,124670,0.0115
synth_bevel_gear_spindle_closeup_fretting_corrosion_0020,fretting_corrosion,0.8233,44499,0.05641,44147,0.0079
synth_bevel_gear_spindle_closeup_fretting_corrosion_0021,fretting_corrosion,0.5583,13999,0.01775,11824,0.1554
synth_bevel_gear_spindle_closeup_fretting_corrosion_0022,fretting_corrosion,0.5001,14581,0.01849,12906,0.1149
synth_bevel_gear_spindle_closeup_fretting_corrosion_0023,fretting_corrosion,0.5229,16267,0.02062,16187,0.0049
synth_bevel_gear_spindle_closeup_fretting_corrosion_0024,fretting_corrosion,0.4311,15412,0.01954,12048,0.2183
synth_bevel_gear_spindle_closeup_fretting_corrosion_0025,fretting_corrosion,0.6043,17382,0.02204,16290,0.0628
synth_bevel_gear_spindle_closeup_fretting_corrosion_0026,fretting_corrosion,0.4467,12884,0.01633,10644,0.1739
synth_bevel_gear_spindle_closeup_fretting_corrosion_0027,fretting_corrosion,0.5174,19061,0.02416,14582,0.235
synth_bevel_gear_spindle_closeup_fretting_corrosion_0028,fretting_corrosion,0.4886,13233,0.01678,11429,0.1363
synth_bevel_gear_spindle_closeup_fretting_corrosion_0029,fretting_corrosion,0.4479,27586,0.03497,25359,0.0807
synth_bevel_gear_spindle_closeup_fretting_corrosion_0030,fretting_corrosion,0.1086,2876,0.00365,199,0.9308
synth_bevel_gear_spindle_closeup_pitting_0001,pitting,0.8462,5445,0.0069,5445,0.0
synth_bevel_gear_spindle_closeup_pitting_0002,pitting,0.6174,2382,0.00302,2382,0.0
synth_bevel_gear_spindle_closeup_pitting_0003,pitting,0.95,7394,0.00937,7394,0.0
synth_bevel_gear_spindle_closeup_pitting_0004,pitting,0.8622,6029,0.00764,6018,0.0018
synth_bevel_gear_spindle_closeup_pitting_0005,pitting,0.934,4248,0.00539,4248,0.0
synth_bevel_gear_spindle_closeup_pitting_0006,pitting,0.8837,4355,0.00552,4355,0.0
synth_bevel_gear_spindle_closeup_pitting_0007,pitting,0.857,5292,0.00671,5235,0.0108
synth_bevel_gear_spindle_closeup_pitting_0008,pitting,0.9431,4082,0.00517,4070,0.0029
synth_bevel_gear_spindle_closeup_pitting_0009,pitting,0.9763,5720,0.00725,5720,0.0
synth_bevel_gear_spindle_closeup_pitting_0010,pitting,0.6881,4241,0.00538,4141,0.0236
synth_bevel_gear_spindle_closeup_pitting_0011,pitting,0.8302,5064,0.00642,5064,0.0
synth_bevel_gear_spindle_closeup_pitting_0012,pitting,0.7249,3285,0.00416,3078,0.063
synth_bevel_gear_spindle_closeup_pitting_0013,pitting,0.6859,4635,0.00588,4267,0.0794
synth_bevel_gear_spindle_closeup_pitting_0014,pitting,0.7355,6829,0.00866,6125,0.1031
synth_bevel_gear_spindle_closeup_pitting_0015,pitting,0.9071,4670,0.00592,4670,0.0
synth_bevel_gear_spindle_closeup_pitting_0016,pitting,0.6936,3517,0.00446,3508,0.0026
synth_bevel_gear_spindle_closeup_pitting_0017,pitting,0.9414,3364,0.00426,3364,0.0
synth_bevel_gear_spindle_closeup_pitting_0018,pitting,0.9769,8390,0.01064,8390,0.0
synth_bevel_gear_spindle_closeup_pitting_0019,pitting,0.749,4748,0.00602,4743,0.0011
synth_bevel_gear_spindle_closeup_pitting_0020,pitting,0.7862,2141,0.00271,2140,0.0005
synth_bevel_gear_spindle_closeup_pitting_0021,pitting,0.2079,2379,0.00302,1187,0.5011
synth_bevel_gear_spindle_closeup_pitting_0022,pitting,0.2048,2731,0.00346,2730,0.0004
synth_bevel_gear_spindle_closeup_pitting_0023,pitting,0.1555,1521,0.00193,1521,0.0
synth_bevel_gear_spindle_closeup_pitting_0024,pitting,0.3494,3045,0.00386,3026,0.0062
synth_bevel_gear_spindle_closeup_pitting_0025,pitting,0.3108,749,0.00095,733,0.0214
synth_bevel_gear_spindle_closeup_pitting_0026,pitting,0.6002,3942,0.005,3942,0.0
synth_bevel_gear_spindle_closeup_pitting_0027,pitting,0.1462,2521,0.0032,359,0.8576
synth_bevel_gear_spindle_closeup_pitting_0028,pitting,0.3371,8795,0.01115,8726,0.0078
synth_bevel_gear_spindle_closeup_pitting_0029,pitting,0.3403,1498,0.0019,1498,0.0
synth_bevel_gear_spindle_closeup_pitting_0030,pitting,0.3012,1446,0.00183,1391,0.038
synth_bevel_gear_spindle_closeup_polishing_wear_0001,polishing_wear,0.8852,19029,0.02412,18910,0.0063
synth_bevel_gear_spindle_closeup_polishing_wear_0002,polishing_wear,0.8141,41582,0.05272,41486,0.0023
synth_bevel_gear_spindle_closeup_polishing_wear_0003,polishing_wear,0.7954,45921,0.05822,45921,0.0
synth_bevel_gear_spindle_closeup_polishing_wear_0004,polishing_wear,0.9543,23762,0.03012,23692,0.0029
synth_bevel_gear_spindle_closeup_polishing_wear_0005,polishing_wear,0.9065,21033,0.02666,21001,0.0015
synth_bevel_gear_spindle_closeup_polishing_wear_0006,polishing_wear,0.8316,37619,0.04769,30658,0.185
synth_bevel_gear_spindle_closeup_polishing_wear_0007,polishing_wear,0.6916,43093,0.05463,43079,0.0003
synth_bevel_gear_spindle_closeup_polishing_wear_0008,polishing_wear,0.8047,61562,0.07805,60556,0.0163
synth_bevel_gear_spindle_closeup_polishing_wear_0009,polishing_wear,0.9346,40030,0.05075,40030,0.0
synth_bevel_gear_spindle_closeup_polishing_wear_0010,polishing_wear,0.8974,52907,0.06707,52689,0.0041
synth_bevel_gear_spindle_closeup_polishing_wear_0011,polishing_wear,0.8086,45119,0.0572,44182,0.0208
synth_bevel_gear_spindle_closeup_polishing_wear_0012,polishing_wear,0.6904,55469,0.07032,54149,0.0238
synth_bevel_gear_spindle_closeup_polishing_wear_0013,polishing_wear,0.5495,24808,0.03145,24738,0.0028
synth_bevel_gear_spindle_closeup_polishing_wear_0014,polishing_wear,0.6938,17650,0.02238,12758,0.2772
synth_bevel_gear_spindle_closeup_polishing_wear_0015,polishing_wear,0.6121,23462,0.02974,23462,0.0
synth_bevel_gear_spindle_closeup_polishing_wear_0016,polishing_wear,0.6647,21961,0.02784,21961,0.0
synth_bevel_gear_spindle_closeup_polishing_wear_0017,polishing_wear,0.8915,14069,0.01784,14069,0.0
synth_bevel_gear_spindle_closeup_polishing_wear_0018,polishing_wear,0.8219,32191,0.04081,32191,0.0
synth_bevel_gear_spindle_closeup_polishing_wear_0019,polishing_wear,0.952,42144,0.05343,42144,0.0
synth_bevel_gear_spindle_closeup_polishing_wear_0020,polishing_wear,0.7682,9705,0.0123,9554,0.0156
synth_bevel_gear_spindle_closeup_polishing_wear_0021,polishing_wear,0.5561,6558,0.00831,6337,0.0337
synth_bevel_gear_spindle_closeup_polishing_wear_0022,polishing_wear,0.121,3621,0.00459,3338,0.0782
synth_bevel_gear_spindle_closeup_polishing_wear_0023,polishing_wear,0.1296,2928,0.00371,2916,0.0041
synth_bevel_gear_spindle_closeup_polishing_wear_0024,polishing_wear,0.5565,12283,0.01557,12260,0.0019
synth_bevel_gear_spindle_closeup_polishing_wear_0025,polishing_wear,0.1471,2135,0.00271,2117,0.0084
synth_bevel_gear_spindle_closeup_polishing_wear_0026,polishing_wear,0.5563,11120,0.0141,11007,0.0102
synth_bevel_gear_spindle_closeup_polishing_wear_0027,polishing_wear,0.5288,8557,0.01085,8538,0.0022
synth_bevel_gear_spindle_closeup_polishing_wear_0028,polishing_wear,0.4813,11527,0.01461,11527,0.0
synth_bevel_gear_spindle_closeup_polishing_wear_0029,polishing_wear,0.1431,2249,0.00285,1285,0.4286
synth_bevel_gear_spindle_closeup_polishing_wear_0030,polishing_wear,0.5549,17726,0.02247,14803,0.1649
synth_bevel_gear_spindle_closeup_tooth_end_rupture_0001,tooth_end_rupture,0.7,15859,0.02011,15859,0.0
synth_bevel_gear_spindle_closeup_tooth_end_rupture_0002,tooth_end_rupture,0.5273,10030,0.01272,10030,0.0
synth_bevel_gear_spindle_closeup_tooth_end_rupture_0003,tooth_end_rupture,0.5855,7426,0.00941,7426,0.0
synth_bevel_gear_spindle_closeup_tooth_end_rupture_0004,tooth_end_rupture,0.652,7045,0.00893,7045,0.0
synth_bevel_gear_spindle_closeup_tooth_end_rupture_0005,tooth_end_rupture,0.9065,5930,0.00752,5903,0.0046
synth_bevel_gear_spindle_closeup_tooth_end_rupture_0006,tooth_end_rupture,0.7913,10157,0.01288,10157,0.0
synth_bevel_gear_spindle_closeup_tooth_end_rupture_0007,tooth_end_rupture,0.6482,7893,0.01001,7893,0.0
synth_bevel_gear_spindle_closeup_tooth_end_rupture_0008,tooth_end_rupture,0.4301,15517,0.01967,15517,0.0
synth_bevel_gear_spindle_closeup_tooth_end_rupture_0009,tooth_end_rupture,0.9864,17546,0.02224,17537,0.0005
synth_bevel_gear_spindle_closeup_tooth_end_rupture_0010,tooth_end_rupture,0.5692,6899,0.00875,6899,0.0
synth_bevel_gear_spindle_closeup_tooth_end_rupture_0011,tooth_end_rupture,0.3873,4904,0.00622,4904,0.0
synth_bevel_gear_spindle_closeup_tooth_end_rupture_0012,tooth_end_rupture,0.6645,4097,0.00519,4097,0.0
synth_bevel_gear_spindle_closeup_tooth_end_rupture_0013,tooth_end_rupture,0.9558,14629,0.01855,14629,0.0
synth_bevel_gear_spindle_closeup_tooth_end_rupture_0014,tooth_end_rupture,0.6261,11757,0.0149,9131,0.2234
synth_bevel_gear_spindle_closeup_tooth_end_rupture_0015,tooth_end_rupture,0.5768,12023,0.01524,12023,0.0
synth_bevel_gear_spindle_closeup_tooth_end_rupture_0016,tooth_end_rupture,0.4424,24055,0.0305,24055,0.0
synth_bevel_gear_spindle_closeup_tooth_end_rupture_0017,tooth_end_rupture,0.5272,14834,0.01881,14834,0.0
synth_bevel_gear_spindle_closeup_tooth_end_rupture_0018,tooth_end_rupture,0.5903,10425,0.01322,10425,0.0
synth_bevel_gear_spindle_closeup_tooth_end_rupture_0019,tooth_end_rupture,0.5217,8506,0.01078,2924,0.6562
synth_bevel_gear_spindle_closeup_tooth_end_rupture_0020,tooth_end_rupture,0.6971,9297,0.01179,8808,0.0526
synth_bevel_gear_spindle_closeup_tooth_end_rupture_0021,tooth_end_rupture,0.2029,1902,0.00241,1307,0.3128
synth_bevel_gear_spindle_closeup_tooth_end_rupture_0022,tooth_end_rupture,0.1377,983,0.00125,983,0.0
synth_bevel_gear_spindle_closeup_tooth_end_rupture_0023,tooth_end_rupture,0.417,1162,0.00147,1162,0.0
synth_bevel_gear_spindle_closeup_tooth_end_rupture_0024,tooth_end_rupture,0.1172,321,0.00041,297,0.0748
synth_bevel_gear_spindle_closeup_tooth_end_rupture_0025,tooth_end_rupture,0.2493,768,0.00097,768,0.0
synth_bevel_gear_spindle_closeup_tooth_end_rupture_0026,tooth_end_rupture,0.1329,918,0.00116,918,0.0
synth_bevel_gear_spindle_closeup_tooth_end_rupture_0027,tooth_end_rupture,0.3937,938,0.00119,850,0.0938
synth_bevel_gear_spindle_closeup_tooth_end_rupture_0028,tooth_end_rupture,0.3309,3580,0.00454,3580,0.0
synth_bevel_gear_spindle_closeup_tooth_end_rupture_0029,tooth_end_rupture,0.1314,563,0.00071,562,0.0018
synth_bevel_gear_spindle_closeup_tooth_end_rupture_0030,tooth_end_rupture,0.1127,504,0.00064,122,0.7579
